"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"NERT_1_F_CP","Total net enrolment rate, primary, female (%)","GNQ","Equatorial Guinea","2009","2009",40.40646,,
"NERT_1_F_CP","Total net enrolment rate, primary, female (%)","GNQ","Equatorial Guinea","2012","2012",44.94814,,
"NERT_1_F_CP","Total net enrolment rate, primary, female (%)","GNQ","Equatorial Guinea","2015","2015",38.73174,,
"NERT_2_CP","Total net enrolment rate, lower secondary, both sexes (%)","SYR","Syrian Arab Republic","2009","2009",90.49115,,
"NERT_2_CP","Total net enrolment rate, lower secondary, both sexes (%)","SYR","Syrian Arab Republic","2012","2012",91.97792,,
"NERT_2_F_CP","Total net enrolment rate, lower secondary, female (%)","MAC","China, Macao Special Administrative Region","2009","2009",91.15044,"+","National Estimation"
"NERT_2_F_CP","Total net enrolment rate, lower secondary, female (%)","MAC","China, Macao Special Administrative Region","2012","2012",96.125,"+","National Estimation"
"NERT_2_F_CP","Total net enrolment rate, lower secondary, female (%)","MAC","China, Macao Special Administrative Region","2015","2015",98.63793,"+","National Estimation"
"NERT_2_F_CP","Total net enrolment rate, lower secondary, female (%)","MAC","China, Macao Special Administrative Region","2018","2018",84.67164,"+","National Estimation"
"NERT_3_CP","Total net enrolment rate, upper secondary, both sexes (%)","ARG","Argentina","2009","2009",82.38127,,
"NERT_3_CP","Total net enrolment rate, upper secondary, both sexes (%)","ARG","Argentina","2012","2012",85.89046,,
"NERT_3_CP","Total net enrolment rate, upper secondary, both sexes (%)","ARG","Argentina","2015","2015",88.68608,,
"NERT_3_CP","Total net enrolment rate, upper secondary, both sexes (%)","ARG","Argentina","2018","2018",90.07607,,
"NERT_1_CP","Total net enrolment rate, primary, both sexes (%)","SVK","Slovakia","2009","2009",95.53216,"+","National Estimation"
"NERT_1_CP","Total net enrolment rate, primary, both sexes (%)","SVK","Slovakia","2012","2012",94.27769,"+","National Estimation"
"NERT_1_CP","Total net enrolment rate, primary, both sexes (%)","SVK","Slovakia","2015","2015",93.74349,"+","National Estimation"
"NERT_1_CP","Total net enrolment rate, primary, both sexes (%)","SVK","Slovakia","2018","2018",92.99726,"+","National Estimation"
"NERT_1_M_CP","Total net enrolment rate, primary, male (%)","SLE","Sierra Leone","2012","2012",92.51917,,
"NERT_1_M_CP","Total net enrolment rate, primary, male (%)","SLE","Sierra Leone","2015","2015",97.29022,,
"NERT_3_M_CP","Total net enrolment rate, upper secondary, male (%)","COG","Congo","2018","2018",64.58743,,
"NERT_2_F_CP","Total net enrolment rate, lower secondary, female (%)","GRC","Greece","2015","2015",94.88067,,
"NERT_2_F_CP","Total net enrolment rate, lower secondary, female (%)","GRC","Greece","2018","2018",96.661,,
"NERT_2_M_CP","Total net enrolment rate, lower secondary, male (%)","COK","Cook Islands","2012","2012",88.83415,,
"NERT_2_M_CP","Total net enrolment rate, lower secondary, male (%)","COK","Cook Islands","2015","2015",93.04636,"‡","UIS Estimation"
"NERT_1_M_CP","Total net enrolment rate, primary, male (%)","PRY","Paraguay","2009","2009",96.37412,,
"NERT_1_M_CP","Total net enrolment rate, primary, male (%)","PRY","Paraguay","2012","2012",95.89027,,
"NERT_2_F_CP","Total net enrolment rate, lower secondary, female (%)","GUY","Guyana","2009","2009",92.3811,"‡","UIS Estimation"
"NERT_1_CP","Total net enrolment rate, primary, both sexes (%)","KNA","Saint Kitts and Nevis","2009","2009",99.81689,,
"NERT_1_CP","Total net enrolment rate, primary, both sexes (%)","KNA","Saint Kitts and Nevis","2012","2012",99.02595,,
"NERT_1_CP","Total net enrolment rate, primary, both sexes (%)","KNA","Saint Kitts and Nevis","2015","2015",98.22871,,
"NERT_2_M_CP","Total net enrolment rate, lower secondary, male (%)","PNG","Papua New Guinea","2018","2018",70.92427,,
"NERT_3_F_CP","Total net enrolment rate, upper secondary, female (%)","SEN","Senegal","2012","2012",29.85873,,
"NERT_2_F_CP","Total net enrolment rate, lower secondary, female (%)","SLV","El Salvador","2009","2009",90.59788,,
"NERT_2_F_CP","Total net enrolment rate, lower secondary, female (%)","SLV","El Salvador","2015","2015",87.2467,,
"NERT_1_M_CP","Total net enrolment rate, primary, male (%)","TCA","Turks and Caicos Islands","2015","2015",96.45818,,
"NERT_3_CP","Total net enrolment rate, upper secondary, both sexes (%)","GIN","Guinea","2012","2012",31.38643,,
"NERT_3_CP","Total net enrolment rate, upper secondary, both sexes (%)","GIN","Guinea","2015","2015",27.59464,,
"NERT_3_CP","Total net enrolment rate, upper secondary, both sexes (%)","GIN","Guinea","2018","2018",28.66975,,
"NERT_2_F_CP","Total net enrolment rate, lower secondary, female (%)","CPV","Cabo Verde","2009","2009",89.74414,,
"NERT_2_F_CP","Total net enrolment rate, lower secondary, female (%)","CPV","Cabo Verde","2012","2012",86.40019,,
"NERT_2_F_CP","Total net enrolment rate, lower secondary, female (%)","CPV","Cabo Verde","2015","2015",84.8013,,
"NERT_2_F_CP","Total net enrolment rate, lower secondary, female (%)","CPV","Cabo Verde","2018","2018",84.47826,,
"NERT_1_CP","Total net enrolment rate, primary, both sexes (%)","MLI","Mali","2009","2009",65.09357,"‡","UIS Estimation"
"NERT_1_CP","Total net enrolment rate, primary, both sexes (%)","MLI","Mali","2012","2012",64.0287,,
"NERT_1_CP","Total net enrolment rate, primary, both sexes (%)","MLI","Mali","2015","2015",57.87049,,
"NERT_1_CP","Total net enrolment rate, primary, both sexes (%)","MLI","Mali","2018","2018",56.27502,,
"NERT_3_F_CP","Total net enrolment rate, upper secondary, female (%)","SWE","Sweden","2009","2009",96.93861,"+","National Estimation"
"NERT_3_F_CP","Total net enrolment rate, upper secondary, female (%)","SWE","Sweden","2012","2012",97.22016,"+","National Estimation"
"NERT_3_F_CP","Total net enrolment rate, upper secondary, female (%)","SWE","Sweden","2015","2015",97.44448,"+","National Estimation"
"NERT_2_CP","Total net enrolment rate, lower secondary, both sexes (%)","PRT","Portugal","2015","2015",99.74336,"+","National Estimation"
"NERT_2_CP","Total net enrolment rate, lower secondary, both sexes (%)","PRT","Portugal","2018","2018",99.24983,"+","National Estimation"
"NERT_3_CP","Total net enrolment rate, upper secondary, both sexes (%)","SWZ","Eswatini","2009","2009",72.68304,,
"NERT_3_CP","Total net enrolment rate, upper secondary, both sexes (%)","SWZ","Eswatini","2012","2012",79.89042,"‡","UIS Estimation"
"NERT_3_CP","Total net enrolment rate, upper secondary, both sexes (%)","SWZ","Eswatini","2015","2015",88.99601,"‡","UIS Estimation"
"NERT_1_CP","Total net enrolment rate, primary, both sexes (%)","NER","Niger","2009","2009",50.09158,"‡","UIS Estimation"
"NERT_1_CP","Total net enrolment rate, primary, both sexes (%)","NER","Niger","2012","2012",60.21181,,
"NERT_1_CP","Total net enrolment rate, primary, both sexes (%)","NER","Niger","2015","2015",61.90063,,
"NERT_1_CP","Total net enrolment rate, primary, both sexes (%)","NER","Niger","2018","2018",59.34589,,
"NERT_3_CP","Total net enrolment rate, upper secondary, both sexes (%)","ECU","Ecuador","2009","2009",65.0964,,
"NERT_3_CP","Total net enrolment rate, upper secondary, both sexes (%)","ECU","Ecuador","2012","2012",74.25851,,
"NERT_3_CP","Total net enrolment rate, upper secondary, both sexes (%)","ECU","Ecuador","2015","2015",79.13739,,
"NERT_3_CP","Total net enrolment rate, upper secondary, both sexes (%)","ECU","Ecuador","2018","2018",81.5277,,
"NERT_3_M_CP","Total net enrolment rate, upper secondary, male (%)","HND","Honduras","2012","2012",42.93491,,
"NERT_3_M_CP","Total net enrolment rate, upper secondary, male (%)","HND","Honduras","2015","2015",40.01206,,
"NERT_3_M_CP","Total net enrolment rate, upper secondary, male (%)","HND","Honduras","2018","2018",38.3021,,
"NERT_1_CP","Total net enrolment rate, primary, both sexes (%)","GHA","Ghana","2009","2009",83.15378,"‡","UIS Estimation"
"NERT_1_CP","Total net enrolment rate, primary, both sexes (%)","GHA","Ghana","2012","2012",86.68265,"‡","UIS Estimation"
"NERT_1_CP","Total net enrolment rate, primary, both sexes (%)","GHA","Ghana","2015","2015",84.61878,,
"NERT_1_CP","Total net enrolment rate, primary, both sexes (%)","GHA","Ghana","2018","2018",90.55731,,
"NERT_3_F_CP","Total net enrolment rate, upper secondary, female (%)","BLZ","Belize","2009","2009",58.45326,,
"NERT_3_F_CP","Total net enrolment rate, upper secondary, female (%)","BLZ","Belize","2012","2012",61.25172,,
"NERT_3_F_CP","Total net enrolment rate, upper secondary, female (%)","BLZ","Belize","2015","2015",63.3342,,
"NERT_3_F_CP","Total net enrolment rate, upper secondary, female (%)","BLZ","Belize","2018","2018",66.60237,,
"NERT_1_M_CP","Total net enrolment rate, primary, male (%)","CRI","Costa Rica","2012","2012",98.12504,"+","National Estimation"
"NERT_1_M_CP","Total net enrolment rate, primary, male (%)","CRI","Costa Rica","2015","2015",93.98886,"+","National Estimation"
"NERT_1_M_CP","Total net enrolment rate, primary, male (%)","CRI","Costa Rica","2018","2018",96.147,"+","National Estimation"
"NERT_1_CP","Total net enrolment rate, primary, both sexes (%)","MEX","Mexico","2009","2009",99.87587,"+","National Estimation"
"NERT_1_CP","Total net enrolment rate, primary, both sexes (%)","MEX","Mexico","2012","2012",99.7664,"+","National Estimation"
"NERT_1_CP","Total net enrolment rate, primary, both sexes (%)","MEX","Mexico","2015","2015",99.68364,"+","National Estimation"
"NERT_1_CP","Total net enrolment rate, primary, both sexes (%)","MEX","Mexico","2018","2018",99.74401,"+","National Estimation"
