"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"GER_1T2","Gross enrolment ratio, primary and lower secondary, both sexes (%)","TJK","Tajikistan","2009","2009",94.91593,,
"GER_1T2","Gross enrolment ratio, primary and lower secondary, both sexes (%)","TJK","Tajikistan","2012","2012",93.51658,,
"GER_1T2","Gross enrolment ratio, primary and lower secondary, both sexes (%)","TJK","Tajikistan","2015","2015",92.25026,,
"GER_1T3_F","Gross enrolment ratio, primary and secondary, female (%)","VGB","British Virgin Islands","2009","2009",109.35748,,
"GER_1T3_F","Gross enrolment ratio, primary and secondary, female (%)","VGB","British Virgin Islands","2012","2012",103.12757,,
"GER_1T3_F","Gross enrolment ratio, primary and secondary, female (%)","VGB","British Virgin Islands","2015","2015",104.48359,,
"GER_1_F","Gross enrolment ratio, primary, female (%)","ECU","Ecuador","2009","2009",113.50238,,
"GER_1_F","Gross enrolment ratio, primary, female (%)","ECU","Ecuador","2012","2012",112.73271,,
"GER_1_F","Gross enrolment ratio, primary, female (%)","ECU","Ecuador","2015","2015",106.70344,,
"GER_1_F","Gross enrolment ratio, primary, female (%)","ECU","Ecuador","2018","2018",101.81288,,
"GER_1_M","Gross enrolment ratio, primary, male (%)","CUB","Cuba","2009","2009",102.08475,,
"GER_1_M","Gross enrolment ratio, primary, male (%)","CUB","Cuba","2012","2012",101.63246,,
"GER_1_M","Gross enrolment ratio, primary, male (%)","CUB","Cuba","2015","2015",105.62338,,
"GER_1_M","Gross enrolment ratio, primary, male (%)","CUB","Cuba","2018","2018",103.2876,,
"GER_1T2_F","Gross enrolment ratio, primary and lower secondary, female (%)","LKA","Sri Lanka","2009","2009",92.0842,,
"GER_1T2_F","Gross enrolment ratio, primary and lower secondary, female (%)","LKA","Sri Lanka","2012","2012",96.63824,,
"GER_1T2_F","Gross enrolment ratio, primary and lower secondary, female (%)","LKA","Sri Lanka","2015","2015",96.39092,,
"GER_1T2_F","Gross enrolment ratio, primary and lower secondary, female (%)","LKA","Sri Lanka","2018","2018",96.61372,,
"GER_1T2","Gross enrolment ratio, primary and lower secondary, both sexes (%)","IRN","Iran (Islamic Republic of)","2009","2009",107.43377,,
"GER_1T2","Gross enrolment ratio, primary and lower secondary, both sexes (%)","IRN","Iran (Islamic Republic of)","2012","2012",106.35942,,
"GER_1T2","Gross enrolment ratio, primary and lower secondary, both sexes (%)","ZMB","Zambia","2009","2009",103.70931,,
"GER_1T2","Gross enrolment ratio, primary and lower secondary, both sexes (%)","ZMB","Zambia","2012","2012",103.16,,
"GER_1T2","Gross enrolment ratio, primary and lower secondary, both sexes (%)","ZMB","Zambia","2015","2015",95.71223,,
"GER_1T2","Gross enrolment ratio, primary and lower secondary, both sexes (%)","ZMB","Zambia","2018","2018",90.23848,,
"GER_1","Gross enrolment ratio, primary, both sexes (%)","BHR","Bahrain","2012","2012",99.52386,,
"GER_1","Gross enrolment ratio, primary, both sexes (%)","BHR","Bahrain","2015","2015",102.21433,,
"GER_1","Gross enrolment ratio, primary, both sexes (%)","BHR","Bahrain","2018","2018",98.76498,,
"GER_1T2_F","Gross enrolment ratio, primary and lower secondary, female (%)","QAT","Qatar","2009","2009",103.86699,"+","National Estimation"
"GER_1T2_F","Gross enrolment ratio, primary and lower secondary, female (%)","QAT","Qatar","2012","2012",101.76958,"+","National Estimation"
"GER_1T2_F","Gross enrolment ratio, primary and lower secondary, female (%)","QAT","Qatar","2015","2015",101.65206,"+","National Estimation"
"GER_1T2_F","Gross enrolment ratio, primary and lower secondary, female (%)","QAT","Qatar","2018","2018",105.01578,"+","National Estimation"
"GER_1T2","Gross enrolment ratio, primary and lower secondary, both sexes (%)","40611","Eastern Asia","2009","2009",105.62121,,
"GER_1T2","Gross enrolment ratio, primary and lower secondary, both sexes (%)","40611","Eastern Asia","2012","2012",103.45977,,
"GER_1T2","Gross enrolment ratio, primary and lower secondary, both sexes (%)","40611","Eastern Asia","2015","2015",96.09909,,
"GER_1T2","Gross enrolment ratio, primary and lower secondary, both sexes (%)","40611","Eastern Asia","2018","2018",96.9907,,
"GER_1_F","Gross enrolment ratio, primary, female (%)","GIN","Guinea","2009","2009",77.02652,,
"GER_1_F","Gross enrolment ratio, primary, female (%)","GIN","Guinea","2012","2012",85.00418,,
"GER_1_F","Gross enrolment ratio, primary, female (%)","GIN","Guinea","2015","2015",81.11642,,
"GER_1_F","Gross enrolment ratio, primary, female (%)","GIN","Guinea","2018","2018",93.06931,,
"GER_1_F","Gross enrolment ratio, primary, female (%)","ITA","Italy","2009","2009",101.09789,,
"GER_1_F","Gross enrolment ratio, primary, female (%)","ITA","Italy","2012","2012",99.79868,,
"GER_1_F","Gross enrolment ratio, primary, female (%)","ITA","Italy","2015","2015",100.17781,,
"GER_1_F","Gross enrolment ratio, primary, female (%)","ITA","Italy","2018","2018",101.14881,,
