"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2009","2009",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2012","2012",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2015","2015",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2018","2018",,"a","Category not applicable"
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2009","2009",1.26786,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2012","2012",1.07009,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2015","2015",1.4484,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2018","2018",1.25846,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2009","2009",1.40862,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2012","2012",2.47369,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2015","2015",2.21174,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2018","2018",1.9406,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","BTN","Bhutan","2009","2009",0.0448,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","BTN","Bhutan","2015","2015",,"n","Magnitude nil or negligible"
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2009","2009",2.01019,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2012","2012",1.69223,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2015","2015",1.71263,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2018","2018",1.70291,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2009","2009",0.25083,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2012","2012",0.20225,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2015","2015",0.29288,,
