"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","MYS","Malaysia","2018","2018",91.71325,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","HND","Honduras","2009","2009",82.53784,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","HND","Honduras","2012","2012",75.98609,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","HND","Honduras","2015","2015",86.78849,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","MUS","Mauritius","2009","2009",97.76737,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","MUS","Mauritius","2012","2012",95.80681,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","MUS","Mauritius","2015","2015",96.4629,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","MUS","Mauritius","2018","2018",94.61476,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","PHL","Philippines","2018","2018",99.40298,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","POL","Poland","2009","2009",99.55675,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","POL","Poland","2012","2012",98.6566,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","POL","Poland","2015","2015",98.79418,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","POL","Poland","2018","2018",99.6191,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","OMN","Oman","2012","2012",99.09861,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","OMN","Oman","2015","2015",100,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","OMN","Oman","2018","2018",,"a","Category not applicable"
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","ZAF","South Africa","2015","2015",70.62319,"‡","UIS Estimation"
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","ZAF","South Africa","2018","2018",93.97079,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","MKD","North Macedonia","2012","2012",97.0125,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","MKD","North Macedonia","2018","2018",89.25928,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40606","Sub-Saharan Africa","2009","2009",55.56716,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40606","Sub-Saharan Africa","2012","2012",54.28647,"‡","UIS Estimation"
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40606","Sub-Saharan Africa","2015","2015",53.55465,"‡","UIS Estimation"
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40606","Sub-Saharan Africa","2018","2018",56.63295,"‡","UIS Estimation"
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","MNE","Montenegro","2015","2015",93.05602,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","KAZ","Kazakhstan","2009","2009",98.77773,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","KAZ","Kazakhstan","2012","2012",99.27584,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","KAZ","Kazakhstan","2015","2015",99.03161,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","KAZ","Kazakhstan","2018","2018",99.16993,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","DZA","Algeria","2009","2009",96.15879,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","DZA","Algeria","2012","2012",98.46468,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","DZA","Algeria","2015","2015",97.29224,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","DZA","Algeria","2018","2018",95.25848,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","URY","Uruguay","2009","2009",93.53232,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","URY","Uruguay","2012","2012",98.40166,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","URY","Uruguay","2015","2015",99.35953,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","SVN","Slovenia","2009","2009",99.5985,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","SVN","Slovenia","2012","2012",99.57823,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","SVN","Slovenia","2015","2015",99.59417,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","SVN","Slovenia","2018","2018",99.86367,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40530","Central and Eastern Europe","2009","2009",97.25411,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40530","Central and Eastern Europe","2012","2012",95.26989,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40530","Central and Eastern Europe","2015","2015",96.37483,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40530","Central and Eastern Europe","2018","2018",98.85404,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","BFA","Burkina Faso","2009","2009",77.59996,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","BFA","Burkina Faso","2012","2012",85.19783,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","BFA","Burkina Faso","2015","2015",84.52159,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","BFA","Burkina Faso","2018","2018",74.10143,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","MMR","Myanmar","2009","2009",72.24024,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","VNM","Viet Nam","2012","2012",94.49783,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","UGA","Uganda","2012","2012",62.67842,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","GHA","Ghana","2012","2012",88.6106,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","BTN","Bhutan","2009","2009",86.49731,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","CYP","Cyprus","2012","2012",93.79423,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","CYP","Cyprus","2015","2015",98.91276,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","CYP","Cyprus","2018","2018",99.23965,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","ARE","United Arab Emirates","2012","2012",92.27226,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","CUB","Cuba","2009","2009",96.6237,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","CUB","Cuba","2012","2012",95.48514,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","CUB","Cuba","2015","2015",95.40672,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","CUB","Cuba","2018","2018",96.49942,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","TUN","Tunisia","2009","2009",98.20872,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","TUN","Tunisia","2012","2012",98.58038,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","TUN","Tunisia","2015","2015",85.78257,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","BLR","Belarus","2012","2012",98.26328,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","BLR","Belarus","2015","2015",99.57917,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","BLR","Belarus","2018","2018",98.07696,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","MAR","Morocco","2009","2009",95.75243,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","MAR","Morocco","2012","2012",96.14422,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","MAR","Morocco","2015","2015",98.29099,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","MAR","Morocco","2018","2018",98.08651,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","DNK","Denmark","2009","2009",98.88683,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","DNK","Denmark","2012","2012",98.36708,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","DNK","Denmark","2018","2018",99.81032,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","ETH","Ethiopia","2009","2009",48.05121,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","ARM","Armenia","2009","2009",96.3008,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","ARM","Armenia","2015","2015",94.88903,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","ARM","Armenia","2018","2018",94.96495,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","HKG","China, Hong Kong Special Administrative Region","2012","2012",99.91767,"+","National Estimation"
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","HKG","China, Hong Kong Special Administrative Region","2015","2015",99.2792,,
