"LOCATION","Country","INDICATOR","Indicator","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","SBF90GDI","Household financial net worth as a percentage of GDI","A","Annual","2007","2007","PC","Percentage","0","Units",,,298.46,,
"CAN","Canada","SBF90GDI","Household financial net worth as a percentage of GDI","A","Annual","2008","2008","PC","Percentage","0","Units",,,248.69,,
"CAN","Canada","SBF90GDI","Household financial net worth as a percentage of GDI","A","Annual","2009","2009","PC","Percentage","0","Units",,,284.91,,
"CAN","Canada","SBF90GDI","Household financial net worth as a percentage of GDI","A","Annual","2010","2010","PC","Percentage","0","Units",,,304.95,,
"CAN","Canada","SBF90GDI","Household financial net worth as a percentage of GDI","A","Annual","2011","2011","PC","Percentage","0","Units",,,301.19,,
"CAN","Canada","SBF90GDI","Household financial net worth as a percentage of GDI","A","Annual","2012","2012","PC","Percentage","0","Units",,,314.69,,
"CAN","Canada","SBF90GDI","Household financial net worth as a percentage of GDI","A","Annual","2013","2013","PC","Percentage","0","Units",,,324.28,,
"CAN","Canada","SBF90GDI","Household financial net worth as a percentage of GDI","A","Annual","2014","2014","PC","Percentage","0","Units",,,353.07,,
"CAN","Canada","SBF90GDI","Household financial net worth as a percentage of GDI","A","Annual","2015","2015","PC","Percentage","0","Units",,,353.8,,
"CAN","Canada","SBF90GDI","Household financial net worth as a percentage of GDI","A","Annual","2016","2016","PC","Percentage","0","Units",,,380.39,,
"CAN","Canada","SBF90GDI","Household financial net worth as a percentage of GDI","A","Annual","2017","2017","PC","Percentage","0","Units",,,390.38,,
"CAN","Canada","SBF90GDI","Household financial net worth as a percentage of GDI","A","Annual","2018","2018","PC","Percentage","0","Units",,,381.77,,
"CAN","Canada","SBF90GDI","Household financial net worth as a percentage of GDI","A","Annual","2019","2019","PC","Percentage","0","Units",,,413.44,,
"CAN","Canada","SBF90GDI","Household financial net worth as a percentage of GDI","A","Annual","2020","2020","PC","Percentage","0","Units",,,416.97,,
"CAN","Canada","SBF90GDI","Household financial net worth as a percentage of GDI","A","Annual","2021","2021","PC","Percentage","0","Units",,,439.68,,
"CAN","Canada","SBF90GDI","Household financial net worth as a percentage of GDI","A","Annual","2022","2022","PC","Percentage","0","Units",,,392.66,,
"OECD","OECD - Total","LAB_UR6","Labour underutilisation rate","A","Annual","2007","2007","PC","Percentage","0","Units",,,12.7,,
"OECD","OECD - Total","LAB_UR6","Labour underutilisation rate","A","Annual","2008","2008","PC","Percentage","0","Units",,,13.43,,
"OECD","OECD - Total","LAB_UR6","Labour underutilisation rate","A","Annual","2009","2009","PC","Percentage","0","Units",,,17.7,,
"OECD","OECD - Total","LAB_UR6","Labour underutilisation rate","A","Annual","2010","2010","PC","Percentage","0","Units",,,17.89,,
"OECD","OECD - Total","LAB_UR6","Labour underutilisation rate","A","Annual","2011","2011","PC","Percentage","0","Units",,,17.33,,
"OECD","OECD - Total","LAB_UR6","Labour underutilisation rate","A","Annual","2012","2012","PC","Percentage","0","Units",,,17.33,,
"OECD","OECD - Total","LAB_UR6","Labour underutilisation rate","A","Annual","2013","2013","PC","Percentage","0","Units",,,17.35,,
"OECD","OECD - Total","LAB_UR6","Labour underutilisation rate","A","Annual","2014","2014","PC","Percentage","0","Units",,,16.52,,
"OECD","OECD - Total","LAB_UR6","Labour underutilisation rate","A","Annual","2015","2015","PC","Percentage","0","Units",,,15.59,,
"OECD","OECD - Total","LAB_UR6","Labour underutilisation rate","A","Annual","2016","2016","PC","Percentage","0","Units",,,14.69,,
"OECD","OECD - Total","LAB_UR6","Labour underutilisation rate","A","Annual","2017","2017","PC","Percentage","0","Units",,,13.61,,
"OECD","OECD - Total","LAB_UR6","Labour underutilisation rate","A","Annual","2018","2018","PC","Percentage","0","Units",,,12.77,,
"OECD","OECD - Total","LAB_UR6","Labour underutilisation rate","A","Annual","2019","2019","PC","Percentage","0","Units",,,12.46,,
"OECD","OECD - Total","LAB_UR6","Labour underutilisation rate","A","Annual","2020","2020","PC","Percentage","0","Units",,,19.29,,
"OECD","OECD - Total","LAB_UR6","Labour underutilisation rate","A","Annual","2021","2021","PC","Percentage","0","Units",,,15.68,,
"OECD","OECD - Total","LAB_UR6","Labour underutilisation rate","A","Annual","2022","2022","PC","Percentage","0","Units",,,12.56,,
"POL","Poland","COCONF","Consumer confidence","A","Annual","2007","2007","IDX","Index","0","Units",,,101.79,,
"POL","Poland","COCONF","Consumer confidence","A","Annual","2008","2008","IDX","Index","0","Units",,,101.96,,
"POL","Poland","COCONF","Consumer confidence","A","Annual","2009","2009","IDX","Index","0","Units",,,99.52,,
"POL","Poland","COCONF","Consumer confidence","A","Annual","2010","2010","IDX","Index","0","Units",,,100.04,,
"POL","Poland","COCONF","Consumer confidence","A","Annual","2011","2011","IDX","Index","0","Units",,,98.94,,
"POL","Poland","COCONF","Consumer confidence","A","Annual","2012","2012","IDX","Index","0","Units",,,98.32,,
"POL","Poland","COCONF","Consumer confidence","A","Annual","2013","2013","IDX","Index","0","Units",,,98.9,,
"POL","Poland","COCONF","Consumer confidence","A","Annual","2014","2014","IDX","Index","0","Units",,,100.06,,
"POL","Poland","COCONF","Consumer confidence","A","Annual","2015","2015","IDX","Index","0","Units",,,100.66,,
"POL","Poland","COCONF","Consumer confidence","A","Annual","2016","2016","IDX","Index","0","Units",,,101.52,,
"POL","Poland","COCONF","Consumer confidence","A","Annual","2017","2017","IDX","Index","0","Units",,,101.86,,
"POL","Poland","COCONF","Consumer confidence","A","Annual","2018","2018","IDX","Index","0","Units",,,102.5,,
"POL","Poland","COCONF","Consumer confidence","A","Annual","2019","2019","IDX","Index","0","Units",,,102.66,,
