"LOCATION","Country","INDICATOR","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LUX","Luxembourg","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2000","2000",,,"0","Units",,,16494.074704478,,
"LUX","Luxembourg","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2001","2001",,,"0","Units",,,17141.6296516424,,
"LUX","Luxembourg","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2002","2002",,,"0","Units",,,18272.6372541398,,
"LUX","Luxembourg","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2003","2003",,,"0","Units",,,18330.5394559112,,
"LUX","Luxembourg","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2004","2004",,,"0","Units",,,18542.1833277113,,
"LUX","Luxembourg","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2005","2005",,,"0","Units",,,18437.9008599123,,
"LUX","Luxembourg","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2006","2006",,,"0","Units",,,18984.3374686894,,
"LUX","Luxembourg","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2007","2007",,,"0","Units",,,19534.414982613,,
"LUX","Luxembourg","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2008","2008",,,"0","Units",,,19998.3542542767,,
"LUX","Luxembourg","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2009","2009",,,"0","Units",,,20863.5401238924,,
"LUX","Luxembourg","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2010","2010",,,"0","Units",,,21268.9862888272,,
"LUX","Luxembourg","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2011","2011",,,"0","Units",,,21682.6457138061,,
"LUX","Luxembourg","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2012","2012",,,"0","Units",,,22331.8320636667,,
"LUX","Luxembourg","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2013","2013",,,"0","Units",,,23445.2872909658,,
"LUX","Luxembourg","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2014","2014",,,"0","Units",,,24009.1402008405,,
"LUX","Luxembourg","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2015","2015",,,"0","Units",,,24166.8,,
"LUX","Luxembourg","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2016","2016",,,"0","Units",,,24541.3579016675,,
"LUX","Luxembourg","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2017","2017",,,"0","Units",,,25631.6944142582,,
"LUX","Luxembourg","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2018","2018",,,"0","Units",,,26482.5874869206,,
"LUX","Luxembourg","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2019","2019",,,"0","Units",,,27592.2565045519,,
"LUX","Luxembourg","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2020","2020",,,"0","Units",,,29188.8124619677,,
"LUX","Luxembourg","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2021","2021",,,"0","Units",,,29645.3578227789,,
"LUX","Luxembourg","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2022","2022",,,"0","Units",,,30213.6538756373,,
"HUN","Hungary","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2000","2000",,,"0","Units",,,16948215.6625001,,
"HUN","Hungary","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2001","2001",,,"0","Units",,,17849842.8278646,,
"HUN","Hungary","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2002","2002",,,"0","Units",,,18801793.5946634,,
"HUN","Hungary","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2003","2003",,,"0","Units",,,19986983.9787546,,
"HUN","Hungary","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2004","2004",,,"0","Units",,,21126513.1077898,,
"HUN","Hungary","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2005","2005",,,"0","Units",,,22055063.4317164,,
"HUN","Hungary","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2006","2006",,,"0","Units",,,22445923.7530054,,
"HUN","Hungary","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2007","2007",,,"0","Units",,,21433224.6430391,,
"HUN","Hungary","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2008","2008",,,"0","Units",,,21026685.1854287,,
"HUN","Hungary","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2009","2009",,,"0","Units",,,20262096.3871976,,
"HUN","Hungary","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2010","2010",,,"0","Units",,,20103736.4694813,,
"HUN","Hungary","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2011","2011",,,"0","Units",,,20790905.6307919,,
"HUN","Hungary","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2012","2012",,,"0","Units",,,20113880.6433556,,
"HUN","Hungary","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2013","2013",,,"0","Units",,,20460263.2991504,,
"HUN","Hungary","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2014","2014",,,"0","Units",,,21019507.2165411,,
"HUN","Hungary","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2015","2015",,,"0","Units",,,21747392,,
"HUN","Hungary","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2016","2016",,,"0","Units",,,22567232.5552485,,
"HUN","Hungary","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2017","2017",,,"0","Units",,,23804982.3853914,,
"HUN","Hungary","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2018","2018",,,"0","Units",,,25458461.1098117,,
"HUN","Hungary","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2019","2019",,,"0","Units",,,26572239.750052,,
"HUN","Hungary","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2020","2020",,,"0","Units",,,26159677.7167345,,
"HUN","Hungary","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2021","2021",,,"0","Units",,,27750050.3725401,,
"HUN","Hungary","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2022","2022",,,"0","Units",,,28311832.4885293,"E","Estimated value"
"USA","United States","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2000","2000",,,"0","Units",,,9399877.79393083,,
"USA","United States","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2001","2001",,,"0","Units",,,9652664.82494649,,
"USA","United States","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2002","2002",,,"0","Units",,,9980894.45954464,,
"USA","United States","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2003","2003",,,"0","Units",,,10258552.5230525,,
"USA","United States","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2004","2004",,,"0","Units",,,10596215.442437,,
"USA","United States","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2005","2005",,,"0","Units",,,10726369.0234583,,
"USA","United States","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2006","2006",,,"0","Units",,,11123869.8752805,,
"USA","United States","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2007","2007",,,"0","Units",,,11367117.8369566,,
