Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Aruba;ABW;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20520;22210;23230;24580;26320;26850;26800;28250;28640;27880;30320;31210;29780;31810;34480;28900;35760;33470;38420;33950;32270;32440;33240;34710;35490;35770;35880;36720;38950;40590;34100;41610;
Africa Eastern and Southern;AFE;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1696.390093;1727.023132;1641.507741;1675.685887;1695.706586;1798.491412;1882.870517;1958.488731;1951.326063;1977.404386;2049.169657;2114.998569;2184.517092;2249.410216;2377.691968;2536.818897;2712.828732;2878.974795;2968.09624;2951.103557;3033.946647;3143.629875;3086.920226;3201.835121;3347.638421;3382.605583;3497.689951;3524.06369;3610.155775;3663.375761;3531.462331;3755.017339;4066.110728
Afghanistan;AFG;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1570;1770;1750;1960;2070;2110;2150;2040;2120;2130;2200;2100;1690;
Africa Western and Central;AFW;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1654.269367;1692.929271;1717.910008;1668.804582;1680.46141;1717.377882;1735.065071;1796.610844;1824.989295;1861.645014;1834.542687;1952.953243;2112.396547;2200.321078;2363.434309;2523.338095;2785.759434;2897.475528;3047.930668;3157.51984;3310.950388;3447.108113;3563.754682;3705.452751;3990.141176;3961.137105;3898.55472;3910.803155;3990.211781;4116.435074;4032.534041;4255.201624;4625.964613
Angola;AGO;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3000;3320;1630;1500;1260;2350;2420;2830;2820;2630;2790;2900;3380;3470;3780;4310;4730;5350;5590;5840;5950;6120;6790;7090;7630;6900;6660;6770;6500;6260;5800;5990;6450
Albania;ALB;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2550;1880;1740;2110;2300;2710;3050;2780;3110;3550;3980;4440;4780;5130;5560;5980;6760;7490;8270;8670;9530;10210;10450;10750;11360;11800;12270;12800;13480;14220;13830;15320;18210
Andorra;AND;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arab World;ARB;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6798.602688;7397.773616;7748.672027;7979.220532;8074.35106;8269.52229;8524.358836;8823.481943;9322.32731;9372.306958;9947.209179;10158.98961;10009.09477;10399.02967;11437.91349;12075.22273;12969.28981;13631.7103;14266.50176;13989.11748;14336.51582;14859.73414;15836.62795;15803.29136;15596.10217;14168.80856;13763.77612;14355.4564;14695.05336;14870.17916;14147.22641;15089.95219;16771.23171
United Arab Emirates;ARE;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98600;96960;92170;96590;104320;106410;105840;94580;81940;68200;65390;70650;74910;75970;78980;70030;69240;71690;73520;75200;71070;76810;87300
Argentina;ARG;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6870;7740;8540;9390;9990;9750;10320;11200;11590;11200;11240;10840;9480;10530;10810;11980;14410;16080;16910;15750;17450;18770;19180;19700;19280;19730;19860;22990;22460;22100;20250;23280;26030
Armenia;ARM;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2660;2470;1250;1440;1580;1810;1960;2140;2290;2420;2650;3000;3500;4090;4710;5560;6570;7780;8580;7340;7690;8160;9640;10430;10570;10540;11220;12950;13770;15120;13890;15200;18120
American Samoa;ASM;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;ATG;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10340;11240;11530;12420;13250;12670;13550;14370;14990;15470;16120;15870;15740;16940;18120;19830;22770;25220;25200;22060;20660;20290;19540;18800;18790;18440;19390;19700;21470;22740;19560;21070;24500
Australia;AUS;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16780;17120;17550;18710;19730;20310;21350;22350;23610;24670;25760;26850;28230;29260;30840;31790;33470;35000;35990;38890;37840;40330;41540;44770;45660;45310;46140;47090;48620;50180;51870;55330;60350
Austria;AUT;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19560;20600;21350;21790;22680;23610;24550;25310;26510;27170;29130;29300;31000;32070;33730;34940;37750;39400;41660;40900;42360;44600;46500;48050;48860;49370;52680;53670;56380;59530;57770;60230;68170
Azerbaijan;AZE;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3230;2610;2310;2360;2520;2790;3120;3320;3680;4030;4480;4850;5970;8140;10020;11640;12940;13800;13790;15050;16330;16940;14460;13510;13590;13850;14470;14400;15600;16530
Burundi;BDI;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;600;640;650;640;630;550;520;520;540;530;540;530;550;530;550;560;590;610;620;610;630;640;650;700;730;800;770;750;760;760;760;790;840
